image_id,label
0,cat
1,dog
2,dog
3,dog
4,dog
5,cat
6,dog
7,dog
8,dog
9,cat
10,cat
11,dog
12,dog
13,dog
14,dog
15,cat
16,cat
17,cat
18,cat
19,dog
20,dog
21,cat
22,cat
23,dog
24,cat
25,dog
26,dog
27,dog
28,dog
29,dog
30,cat
31,cat
32,cat
33,dog
34,dog
35,dog
36,dog
37,dog
38,dog
39,dog
40,dog
41,dog
42,cat
43,dog
44,dog
45,dog
46,dog
47,dog
48,cat
49,dog
50,cat
51,dog
52,dog
53,dog
54,dog
55,dog
56,dog
57,cat
58,dog
59,cat
60,dog
61,dog
62,dog
63,dog
64,dog
65,cat
66,dog
67,dog
68,cat
69,dog
70,dog
71,dog
72,dog
73,cat
74,dog
75,cat
76,dog
77,dog
78,cat
79,dog
80,cat
81,dog
82,dog
83,cat
84,cat
85,cat
86,dog
87,cat
88,dog
89,dog
90,cat
91,dog
92,dog
93,dog
94,dog
95,dog
96,dog
97,cat
98,dog
99,dog
100,dog
101,cat
102,dog
103,dog
104,dog
105,cat
106,dog
107,dog
108,dog
109,dog
110,cat
111,dog
112,dog
113,dog
114,dog
115,dog
116,dog
117,cat
118,dog
119,cat
120,dog
121,cat
122,cat
123,cat
124,dog
125,cat
126,dog
127,cat
128,cat
129,dog
130,dog
131,dog
132,dog
133,dog
134,cat
135,dog
136,dog
137,dog
138,dog
139,dog
140,dog
141,dog
142,dog
143,dog
144,dog
145,cat
146,dog
147,dog
148,dog
149,dog
150,cat
151,cat
152,cat
153,cat
154,dog
155,dog
156,dog
157,dog
158,dog
159,cat
160,dog
161,dog
162,dog
163,cat
164,cat
165,dog
166,dog
167,cat
168,cat
169,dog
170,cat
171,cat
172,dog
173,dog
174,dog
175,cat
176,dog
177,dog
178,dog
179,dog
180,dog
181,dog
182,dog
183,dog
184,cat
185,dog
186,dog
187,dog
188,dog
189,dog
190,dog
191,dog
192,cat
193,dog
194,cat
195,cat
196,dog
197,dog
198,dog
199,dog
200,dog
201,cat
202,dog
203,cat
204,dog
205,cat
206,dog
207,dog
208,dog
209,cat
210,dog
211,dog
212,cat
213,dog
214,cat
215,dog
216,cat
217,dog
218,dog
219,cat
220,cat
221,cat
222,dog
223,dog
224,cat
225,cat
226,dog
227,cat
228,dog
229,cat
230,dog
231,cat
232,cat
233,dog
234,dog
235,dog
236,dog
237,cat
238,cat
239,dog
240,dog
241,cat
242,dog
243,dog
244,dog
245,dog
246,dog
247,cat
248,cat
249,cat
250,dog
251,cat
252,cat
253,dog
254,cat
255,dog
256,dog
257,dog
258,dog
259,cat
260,dog
261,dog
262,dog
263,cat
264,dog
265,dog
266,cat
267,cat
268,dog
269,dog
270,cat
271,cat
272,dog
273,dog
274,dog
275,dog
276,dog
277,cat
278,dog
279,cat
280,dog
281,dog
282,dog
283,dog
284,dog
285,cat
286,dog
287,dog
288,cat
289,dog
290,cat
291,dog
292,dog
293,dog
294,cat
295,dog
296,cat
297,dog
298,dog
299,dog
300,cat
301,cat
302,dog
303,dog
304,dog
305,dog
306,cat
307,dog
308,cat
309,dog
310,dog
311,dog
312,dog
313,dog
314,cat
315,dog
316,cat
317,dog
318,dog
319,dog
320,dog
321,dog
322,dog
323,dog
324,cat
325,dog
326,dog
327,dog
328,cat
329,cat
330,dog
331,dog
332,cat
333,cat
334,dog
335,cat
336,dog
337,dog
338,cat
339,dog
340,dog
341,cat
342,dog
343,cat
344,dog
345,dog
346,cat
347,dog
348,dog
349,dog
350,cat
351,dog
352,dog
353,dog
354,cat
355,cat
356,dog
357,dog
358,dog
359,dog
360,dog
361,dog
362,dog
363,dog
364,dog
365,cat
366,dog
367,dog
368,cat
369,dog
370,dog
371,dog
372,dog
373,dog
374,dog
375,dog
376,dog
377,dog
378,dog
379,dog
380,dog
381,dog
382,dog
383,dog
384,dog
385,dog
386,dog
387,dog
388,cat
389,dog
390,dog
391,dog
392,dog
393,dog
394,cat
395,dog
396,dog
397,dog
398,dog
399,cat
